"Qty"	"Value"	"Device"	"Parts"	"FINISH"	"LOCKING"	"MANUFACTURER"	"MANUFACTURER_PN"	"MAX_CURRENT"	"MOUNT_ANGLE"	"MOUNT_TYPE"	"POSITIONS"	"POWER"	"TEMP_COEFF"	"TOLERANCE"	"VALUE"	"VENDOR"	"VENDOR_PN"	"VOLTAGE"
"1"	"9V"	"BC9VPC"	"BATT"	""	""	"MPD (Memory Protection Devices)"	"BC9VPC"	""	""	""	""	""	""	""	"9V"	"Digi-key"	"BC9VPC-ND"	""
"1"	"100nF"	"CAP_100NF0_0603"	"C1"	""	""	"Murata"	"GRM188R71C104KA01D"	""	""	""	""	""	"X7R"	"10%"	"100nF"	"Digi-key"	"490-1532-1-ND"	"16V"
"1"	"10uF"	"CAP_10UF0_0603"	"C2"	""	""	"Murata"	"GRM188R61A106KE69D"	""	""	""	""	""	"X5R"	"10%"	"10uF"	"Digi-key"	"490-10474-1-ND"	"10V"
"1"	"2.2uF"	"CAP_2UF2_0603"	"C3"	""	""	"Murata"	"GRM188R61C225KE15D"	""	""	""	""	""	"X5R"	"10%"	"2.2uF"	"Digi-key"	"490-3296-1-ND"	"16V"
"1"	"1uF"	"CAP_1UF0_0603"	"C4"	""	""	"Murata"	"GRM033R61A105ME15D"	""	""	""	""	""	"X5R"	"20%"	"1uF"	"Digi-key"	"490-13226-1-ND"	"10V"
"1"	"10pF"	"CAP_10PF0_0603"	"C5"	""	""	"Murata"	"GRM1885C1H100JA01D"	""	""	""	""	""	"C0G, NP0"	"5%"	"10pF"	"Digi-key"	"490-1403-1-ND"	"50V"
"10"	"MOL-KK-2-RA"	"MOLKK_2PIN_2RA_2RA"	"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10"	"GOLD"	"YES"	"Molex"	"0022122024"	"4.0A"	"RIGHT"	"TH"	"2"	""	""	""	"MOL-KK-2-RA"	"Digi-key"	"WM2711-ND"	""
"1"	"M02PTH"	"M02PTH"	"J11"	""	""	"Molex"	"0901200122"	""	""	""	""	""	""	""	""	"Digi-key"	"WM8072-ND"	""
"1"	"STD12NF06LT4"	"STD12NF06LT4"	"Q1"	""	""	"STMicroelectronics"	"STD12NF06LT4"	""	""	""	""	""	""	""	"STD12NF06LT4"	"Digi-key"	"497-2487-1-ND"	""
"3"	"100"	"RES_100R_0603"	"R1, R2, R3"	""	""	"Panasonic"	"ERJ-3EKF1000V"	""	""	""	""	"1/10W"	""	"1%"	"100"	"Digi-key"	"P100HCT-ND"	""
"1"	"76.8k"	"RES_76R8_0603"	"R4"	""	""	"Panasonic"	"ERJ-3EKF7682V"	""	""	""	""	"1/10W"	""	"1%"	"76.8k"	"Digi-key"	"P76.8KHCT-ND"	""
"1"	"LMC555CMX/NOPB"	"LMC555CMX/NOPB"	"U2"	""	""	"Texas Instruments"	"LMC555CMX/NOPB"	""	""	""	""	""	""	""	"LMC555CMX/NOPB"	"Digi-key"	"LMC555CMX/NOPBCT-ND"	""
"1"	"LP2985AIM5-4.5/NOPB"	"LP2985AIM5-4.5/NOPB"	"U3"	""	""	"Texas Instruments"	"LP2985AIM5-4.5/NOPB"	""	""	""	""	""	""	""	"LP2985AIM5-4.5/NOPB"	"Digi-key"	"LP2985AIM5-4.5/NOPBCT-ND"	""
